acontra+,PRIME: ACONTRA+ CINE ᴿᴬᵂ
M+ Liga de Campeones 3 HD,ES: M. LIGA DE CAMPEONES 3 ᴴᴰ
M+ Liga de Campeones 4,ES: M. LIGA DE CAMPEONES 4 ᴴᴰ
M+ Liga de Campeones 5,ES: M. LIGA DE CAMPEONES 5 ᴴᴰ
M+ Liga de Campeones 6,ES: M. LIGA DE CAMPEONES 6 ᴴᴰ
M+ Liga de Campeones 7,ES: M. LIGA DE CAMPEONES 7 ᴴᴰ
M+ Liga de Campeones 8,ES: M. LIGA DE CAMPEONES 8 ᴴᴰ
M+ Liga de Campeones 9,ES: M. LIGA DE CAMPEONES 9 ᴴᴰ
M+ Liga de Campeones 10,ES: M. LIGA DE CAMPEONES 10 ᴴᴰ
M+ Liga de Campeones 11,ES: M. LIGA DE CAMPEONES 11 ᴴᴰ
M+ Liga de Campeones 12,ES: M. LIGA DE CAMPEONES 12 ᴴᴰ
M+ Liga de Campeones 13,ES: M. LIGA DE CAMPEONES 13 ᴴᴰ
M+ Liga de Campeones 14,ES: M. LIGA DE CAMPEONES 14 ᴴᴰ
M+ Liga de Campeones 15,ES: M. LIGA DE CAMPEONES 15 ᴴᴰ
M+ Liga de Campeones 16,ES: M. LIGA DE CAMPEONES 16 ᴴᴰ
M+ Liga de Campeones 17,ES: M. LIGA DE CAMPEONES 17 ᴴᴰ
M+ Liga de Campeones 18,ES: M. LIGA DE CAMPEONES 18 ᴴᴰ
M+ Liga de Campeones 19,ES: M. LIGA DE CAMPEONES 19 ᴴᴰ
,### M. LIGA DE CAMPEONES ᵁᴴᴰ ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ᵁᴴᴰ
,### M. LIGA DE CAMPEONES ʰᵉᵛᶜ ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ʰᵉᵛᶜ
,### M. LIGA DE CAMPEONES ᴿᴬᵂ ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ᴿᴬᵂ
M+ Liga de Campeones 2 HD,ES: M. LIGA DE CAMPEONES 2 ᴿᴬᵂ 
M+ Liga de Campeones 3 HD,ES: M. LIGA DE CAMPEONES 3 ᴿᴬᵂ
M+ Liga de Campeones 4,ES: M. LIGA DE CAMPEONES 4 ᴿᴬᵂ
M+ Liga de Campeones 5,ES: M. LIGA DE CAMPEONES 5 ᴿᴬᵂ
,### M. LIGA DE CAMPEONES ᴴᴰ/ᴿᴬᵂ ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 2 HD,ES: M. LIGA DE CAMPEONES 2 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 2 HD,ES: M. LIGA DE CAMPEONES 2 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 3 HD,ES: M. LIGA DE CAMPEONES 3 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 3 HD,ES: M. LIGA DE CAMPEONES 3 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 4,ES: M. LIGA DE CAMPEONES 4 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 4,ES: M. LIGA DE CAMPEONES 4 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 5,ES: M. LIGA DE CAMPEONES 5 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 5,ES: M. LIGA DE CAMPEONES 5 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 6,ES: M. LIGA DE CAMPEONES 6 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 6,ES: M. LIGA DE CAMPEONES 6 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 7,ES: M. LIGA DE CAMPEONES 7 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 7,ES: M. LIGA DE CAMPEONES 7 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 8,ES: M. LIGA DE CAMPEONES 8 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 8,ES: M. LIGA DE CAMPEONES 8 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 9,ES: M. LIGA DE CAMPEONES 9 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 9,ES: M. LIGA DE CAMPEONES 9 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 10,ES: M. LIGA DE CAMPEONES 10 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 10,ES: M. LIGA DE CAMPEONES 10 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 11,ES: M. LIGA DE CAMPEONES 11 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 11,ES: M. LIGA DE CAMPEONES 11 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 12,ES: M. LIGA DE CAMPEONES 12 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 12,ES: M. LIGA DE CAMPEONES 12 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 13,ES: M. LIGA DE CAMPEONES 13 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 13,ES: M. LIGA DE CAMPEONES 13 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 14,ES: M. LIGA DE CAMPEONES 14 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 14,ES: M. LIGA DE CAMPEONES 14 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 15,ES: M. LIGA DE CAMPEONES 15 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 15,ES: M. LIGA DE CAMPEONES 15 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 16,ES: M. LIGA DE CAMPEONES 16 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 16,ES: M. LIGA DE CAMPEONES 16 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 17,ES: M. LIGA DE CAMPEONES 17 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 17,ES: M. LIGA DE CAMPEONES 17 ᴿᴬᵂ ⁽ᴮᴷ⁾
M+ Liga de Campeones 18,ES: M. LIGA DE CAMPEONES 18 ᴴᴰ ⁽ᴮᴷ⁾
M+ Liga de Campeones 18,ES: M. LIGA DE CAMPEONES 18 ᴿᴬᵂ ⁽ᴮᴷ⁾
,ES: LALIGA REPLAY 2 HD
,ES: LALIGA REPLAY 3 HD
,ES: LALIGA REPLAY 4 HD
,ES: LALIGA REPLAY 5 HD
,ES: LALIGA REPLAY 6 HD
,ES: LALIGA REPLAY ENGLISH 1 HD
,ES: LALIGA REPLAY ENGLISH 2 HD
,#### DAZN EXCLUSIVE ᴴᴰ/ᴿᴬᵂ #####
DAZN 1 HD,ES: DAZN 1 ᴴᴰ
DAZN 2 HD,ES: DAZN 2 ᴴᴰ
DAZN F1 HD,ES: DAZN F1® ᴴᴰ
DAZN LaLiga HD,ES: DAZN LALIGA ᴴᴰ
DAZN 1 HD,ES: DAZN 1 SD
DAZN 2 HD,ES: DAZN 2 SD
DAZN F1 HD,ES: DAZN F1® SD
DAZN 1 HD,ES: DAZN 1 ᴿᴬᵂ
DAZN LaLiga HD,ES: DAZN LALIGA SD
DAZN 2 HD,ES: DAZN 2 ᴿᴬᵂ
DAZN F1 HD,ES: DAZN F1® ᴿᴬᵂ
DAZN LaLiga HD,ES: DAZN LALIGA ᴿᴬᵂ
,#### ES| DAZN LALIGA VIP ᴴᴰ ####
DAZN LaLiga HD,ES: DAZN LA LIGA ᴴᴰ
DAZN LaLiga 2 HD,ES: DAZN LA LIGA 2 ᴴᴰ
,#### ES| DAZN LALIGA VIP SD ####
DAZN LaLiga HD,ES: DAZN LA LIGA SD
DAZN LaLiga 2 HD,ES: DAZN LA LIGA 2 SD
,#### ES| DAZN LALIGA VIP ᵁᴴᴰ ####
DAZN LaLiga HD,ES: DAZN LA LIGA ʰᵉᵛᶜ
DAZN LaLiga HD,ES: DAZN LA LIGA ᵁᴴᴰ
DAZN LaLiga 2 HD,ES: DAZN LA LIGA 2 ᵁᴴᴰ
,#### DAZN ESPAÑA VIP ᴴᴰ ####
DAZN F1 HD,ES: DAZN F1 ᴴᴰ
DAZN MotoGP,ES: DAZN MOTOGP ᴴᴰ
DAZN 1 HD,ES: DAZN 1 ᴴᴰ
DAZN 2 HD,ES: DAZN 2 ᴴᴰ
,#### DAZN ESPAÑA VIP SD ####
DAZN F1 HD,ES: DAZN F1 SD
DAZN MotoGP,ES: DAZN MOTOGP SD
DAZN 1 HD,ES: DAZN 1 SD
DAZN 2 HD,ES: DAZN 2 SD
DAZN 3 HD,ES: DAZN 3 SD
DAZN 4 HD,ES: DAZN 4 SD
,#### DAZN ESPAÑA VIP ᵁᴴᴰ ####
DAZN F1 HD,ES: DAZN F1 ʰᵉᵛᶜ
DAZN F1 HD,ES: DAZN F1 ᵁᴴᴰ
DAZN MotoGP,ES: DAZN MOTOGP ᵁᴴᴰ
DAZN 1 HD,ES: DAZN 1 ᵁᴴᴰ
DAZN 2 HD,ES: DAZN 2 ᵁᴴᴰ
DAZN 3 HD,ES: DAZN 3 ᵁᴴᴰ
DAZN 4 HD,ES: DAZN 4 ᵁᴴᴰ
,####### DAZN PPV ˢᵘᵖᵉʳ #######
,ES: DAZN PPV 1
,ES: DAZN PPV 2
,ES: DAZN PPV 3
,ES: DAZN PPV 4
,ES: DAZN PPV 5
,ES: DAZN PPV 6
,ES: DAZN PPV 7
,ES: DAZN PPV 8
,ES: DAZN PPV 9
,ES: DAZN PPV 10
,ES: DAZN PPV 11
,ES: DAZN PPV 12
,ES: DAZN PPV 13
,ES: DAZN PPV 14
,ES: DAZN PPV 15
,ES: DAZN PPV 16
,ES: DAZN PPV 17
,ES: DAZN PPV 18
,ES: DAZN PPV 19
,ES: DAZN PPV 20
,ES: DAZN PPV 21
,ES: DAZN PPV 22
,ES: DAZN PPV 23
,ES: DAZN PPV 24
,ES: DAZN PPV 25
,ES: DAZN PPV 26
,ES: DAZN PPV 27
,ES: DAZN PPV 28
,ES: DAZN PPV 29
,ES: DAZN PPV 30
,#### DAZN ACB PPV ####
DAZN Baloncesto,ES: DAZN BALONCESTO 1 ᴿᴬᵂ
DAZN Baloncesto 2,ES: DAZN BALONCESTO 2 ᴿᴬᵂ
DAZN Baloncesto 3,ES: DAZN BALONCESTO 3 ᴿᴬᵂ
,####### MAX PPV #######
,:MAX ES  08
,:MAX ES  09
,:MAX ES  10
,:MAX ES  11
,:MAX ES  12
,:MAX ES  13
,:MAX ES  14
,:MAX ES  15
,:MAX ES  16
,:MAX ES  17
,:MAX ES  18
,:MAX ES  19
,:MAX ES  20
,:MAX ES  21
,:MAX ES  22
,:MAX ES  23
,:MAX ES  24
,:MAX ES  25
,:MAX ES  26
,:MAX ES  27
,:MAX ES  28
,:MAX ES  29
,:MAX ES  30
,:MAX ES  31
,:MAX ES  32
,:MAX ES  33
,:MAX ES  34
,:MAX ES  35
,:MAX ES  36
,:MAX ES  37
,:MAX ES  38
,:MAX ES  39
,:MAX ES  40
,:MAX ES  41
,:MAX ES  42
,:MAX ES  43
,:MAX ES  44
,:MAX ES  45
,:MAX ES  46
,:MAX ES  47
,:MAX ES  48
,:MAX ES  49
,:MAX ES  50
,:MAX ES  51
,:MAX ES  52
,:MAX ES  53
,:MAX ES  54
,:MAX ES  55
,:MAX ES  56
,:MAX ES  57
,:MAX ES  58
,:MAX ES  59
,:MAX ES  60
,:MAX ES  61
,:MAX ES  62
,:MAX ES  63
,:MAX ES  64
,:MAX ES  65
,:MAX ES  66
,:MAX ES  67
,:MAX ES  68
,:MAX ES  69
,:MAX ES  70
,:MAX ES  71
,:MAX ES  72
,:MAX ES  73
,:MAX ES  74
,:MAX ES  75
,:MAX ES  76
,:MAX ES  77
,:MAX ES  78
,:MAX ES  79
,:MAX ES  80
,:MAX ES  81
,:MAX ES  82
,:MAX ES  83
,:MAX ES  84
,:MAX ES  85
,:MAX ES  86
,:MAX ES  87
,:MAX ES  88
,:MAX ES  89
,:MAX ES  90
,:MAX ES  91
,:MAX ES  92
,:MAX ES  93
,:MAX ES  94
,:MAX ES  95
,:MAX ES  96
,:MAX ES  97
,:MAX ES  98
,:MAX ES  99
,:MAX ES  100
,#### LALIGA+ PPV VIP ####
,####### LALIGA+ PPV  #######
,ES: LALIGA+ ᴴᴰ (LINEAL)
,ES: LALIGA+ EVENTO 01
,ES: LALIGA+ EVENTO 02
,ES: LALIGA+ EVENTO 03
,ES: LALIGA+ EVENTO 04
,ES: LALIGA+ EVENTO 05
,ES: LALIGA+ EVENTO 06
,ES: LALIGA+ EVENTO 07
,ES: LALIGA+ EVENTO 08
,ES: LALIGA+ EVENTO 09
,ES: LALIGA+ EVENTO 10
,ES: LALIGA+ EVENTO 11
,ES: LALIGA+ EVENTO 12
,ES: LALIGA+ EVENTO 13
,ES: LALIGA+ EVENTO 14
,ES: LALIGA+ EVENTO 15
,ES: LALIGA+ EVENTO 16
,ES: LALIGA+ EVENTO 17
,ES: LALIGA+ EVENTO 18
,ES: LALIGA+ EVENTO 19
,ES: LALIGA+ EVENTO 20
,##### TV FOOTBALL PPV #####
Primera Federación,ES: 1° FEDERACION ᴴᴰ
Primera Federación,ES: 1° FEDERACION SD
Primera Federación,ES: 1° FEDERACION ᴿᴬᵂ (MOVISTAR+)
Primera Federación,ES: 1° FEDERACION ᴿᴬᵂ (LALIGA+)
,#### ES| MOVISTAR DEPORTES VIP ᴴᴰ ####
M+ Deportes HD,ES: MOVISTAR DEPORTES ᴴᴰ
,#### ES| MOVISTAR DEPORTES VIP  SD ####
M+ Deportes HD,ES: MOVISTAR DEPORTES SD
,#### ES| MOVISTAR DEPORTES VIP ᵁᴴᴰ ####
M+ Deportes HD,ES: MOVISTAR DEPORTES ʰᵉᵛᶜ
M+ Deportes HD,ES: MOVISTAR DEPORTES ᵁᴴᴰ
,#### ES| OTROS DEPORTES VIP ᴴᴰ ####
M+ Golf HD,ES: MOVISTAR GOLF ᴴᴰ
Eurosport 1 HD,ES: EUROSPORT 1 ᴴᴰ
Eurosport 2,ES: EUROSPORT 2 ᴴᴰ
Esport 3,ES: ESPORT 3 ᴴᴰ
Teledeporte,ES: TELEDEPORTE ᴴᴰ
,#### ES| OTROS DEPORTES VIP SD ####
M+ Golf HD,ES: MOVISTAR GOLF SD
M+ Golf 2 HD,ES: MOVISTAR GOLF 2 SD
Eurosport 1 HD,ES: EUROSPORT 1 SD
Eurosport 2,ES: EUROSPORT 2 SD
Teledeporte,ES: TELEDEPORTE SD
,#### ES| OTROS DEPORTES VIP ᵁᴴᴰ ####
M+ Golf HD,ES: MOVISTAR GOLF ᵁᴴᴰ
Eurosport 1 HD,ES: EUROSPORT 1 ᵁᴴᴰ
Eurosport 2,ES: EUROSPORT 2 ᵁᴴᴰ
Teledeporte,ES: TELEDEPORTE ᵁᴴᴰ
,#### ES| DOCUMENTALES VIP ᴴᴰ ####
National Geographic HD,ES: NATIONAL GEOGRAPHIC ᴴᴰ
Nat Geo Wild HD,ES: NATIONAL GEOGRAPHIC  WILD ᴴᴰ
Historia,ES: HISTORIA ᴴᴰ
Discovery,ES: DISCOVERY CHANNEL ᴴᴰ
Odisea,ES: ODISEA ᴴᴰ
AMC Crime,ES: AMC CRIME ᴴᴰ
AMC Break,ES: AMC BREAK ᴴᴰ
SELEKT,ES: AMC SELEKT TV ᴴᴰ
DMAX,ES: DMAX ᴴᴰ
BBC History,ES: BBC HISTORY ᴴᴰ
BBC Food,ES: BBC FOOD ᴴᴰ
HBO Max Avances,ES: Max Avances ᴴᴰ
Escapa TV,ES: ESCAPA TV ᴴᴰ
,#### ES| DOCUMENTALES VIP SD ####
National Geographic HD,ES: NATIONAL GEOGRAPHIC SD
Nat Geo Wild HD,ES: NATIONAL GEOGRAPHIC WILD SD
Historia,ES: HISTORIA SD
Discovery,ES: DISCOVERY CHANNEL SD
Odisea,ES: ODISEA SD
AMC Break,ES: AMC BREAK SD
AMC Crime,ES: AMC CRIME SD
DMAX,ES: DMAX SD
BBC History,ES: BBC HISTORY SD
BBC Food,ES: BBC FOOD SD
HBO Max Avances,ES: Max Avances SD
,#### ES| DOCUMENTALES VIP ᵁᴴᴰ ####
Odisea,ES: ODISEA ᵁᴴᴰ 3840P
National Geographic HD,ES: NATIONAL GEOGRAPHIC ᵁᴴᴰ
Nat Geo Wild HD,ES: NATIONAL GEOGRAPHIC WILD ᵁᴴᴰ
Historia,ES: HISTORIA ᵁᴴᴰ
Discovery,ES: DISCOVERY CHANNEL ᵁᴴᴰ
Odisea,ES: ODISEA ᵁᴴᴰ
AMC Break,ES: AMC BREAK ᵁᴴᴰ
AMC Crime,ES: AMC CRIME ᵁᴴᴰ
DMAX,ES: DMAX ᵁᴴᴰ
BBC History,ES: BBC HISTORY ᵁᴴᴰ
BBC Food,ES: BBC FOOD ᵁᴴᴰ
HBO Max Avances,ES: Max Avances ᵁᴴᴰ
,#### ES| TOROS VIP ᴴᴰ ####
Torolé TV,ES: TOROLE ᴴᴰ
Onetoro,ES: ONETORO ᴴᴰ
El Toro TV,ES: EL TORO TV ᴴᴰ
,#### ES| TOROS VIP SD ####
Torolé TV,ES: TOROLE SD
Onetoro,ES: ONETORO SD
,#### ES| TOROS VIP ᵁᴴᴰ ####
Torolé TV,ES: TOROLE ᵁᴴᴰ
Onetoro,ES: ONETORO ᵁᴴᴰ
,#### ES| M+ VAMOS VIP ᴴᴰ ####
M+ Vamos HD,ES: #VAMOS ᴴᴰ
M+ Vamos 2,ES: #VAMOS 2 ᴴᴰ
,ES: ELLAS #V ᴴᴰ
,#### ES| M+ VAMOS VIP  SD ####
M+ Vamos HD,ES: #VAMOS SD
M+ Vamos HD,ES: #VAMOS SD
,ES: ELLAS #V SD
,#### ES| M+ VAMOS VIP ᵁᴴᴰ ####
M+ Vamos HD,ES: #VAMOS ʰᵉᵛᶜ
M+ Vamos 2,ES: #VAMOS 2 ʰᵉᵛᶜ
M+ Vamos HD,ES: #VAMOS ᵁᴴᴰ
,ES: ELLAS #V ᵁᴴᴰ
,#### ES| MUSICA VIP SD ####
Mezzo,ES: MEZZO SD
Mezzo Live HD,ES: MEZZO LIVE SD
MTV España,ES: MTV SD
,#### ES| MUSICA VIP ᵁᴴᴰ ####
Mezzo,ES: MEZZO ᵁᴴᴰ
Mezzo Live HD,ES: MEZZO LIVE ᵁᴴᴰ
MTV España,ES: MTV ᵁᴴᴰ
