acontra+,PRIME: ACONTRA+ CINE ᴿᴬᵂ
M+ Hits HD,M+: M.HITS ᴿᴬᵂ
STAR Channel HD,M+: STAR CHANNEL ᴿᴬᵂ
AXN HD,M+: AXN ᴿᴬᵂ
El Toro TV,M+: EL TORO  ᴿᴬᵂ
AXN Movies HD,M+: AXN MOVIES ᴿᴬᵂ
Sol Música,M+: SOL MUSICA ᴿᴬᵂ
Calle 13 HD,M+: CALLE 13 ᴿᴬᵂ
Comedy Central HD,M+: COMEDY CENTRAL ᴿᴬᵂ
SyFy HD,M+: SYFY ᴿᴬᵂ
Nickelodeon HD,M+: NICKELODEON ᴿᴬᵂ
Nick JR,M+: NICK JR ᴿᴬᵂ
Disney Junior,M+: DISNEY JR ᴿᴬᵂ
Clan,M+: CLAN TVE ᴿᴬᵂ
Fight Time,M+: FIGHT TIME ᴿᴬᵂ
Boing,M+: BOING ᴿᴬᵂ
Baby TV,M+: BABY TV ᴿᴬᵂ
Moto ADV,M+: MOTO ADV ᴿᴬᵂ
Negocios TV,M+: NEGOCIOS TV ᴿᴬᵂ
M+ Originales HD,M+: M.ORIGINALES ᴿᴬᵂ
Canal Cocina,M+: CANAL COCINA ᴿᴬᵂ
AMC HD,M+: AMC ᴿᴬᵂ
AMC Break,M+: AMC BREAK ᴿᴬᵂ
AMC Crime,M+: AMC CRIME ᴿᴬᵂ
La Otra,M+: LA OTRA ᴿᴬᵂ
Iberalia TV,M+: IBERALIA ᴿᴬᵂ
Iberalia pesca,M+: IBERALIA PESCA ᴿᴬᵂ
